WKT,name,description
"POINT (-121.821080234 37.416391216)",Point 2 - white pipe with pad,
"POINT (-121.821653167 37.417469788)",Point 3 - 2pm,
"POINT (-121.821654137 37.417468833)",Point 4,
"POINT (-121.821701124 37.417331614)",Point 5,
"POINT (-121.821894319 37.416700324)",Point 6,
"POINT (-121.821881211 37.416652178)",Point 7,
"POINT (-121.821881284 37.416652256)",Point 8,
"POINT (-121.822147513 37.415969929)",Point 9,
"POINT (-121.823761242 37.414539863)",Point 10,
"POINT (-121.823761009 37.414540047)",Point 11,
"POINT (-121.823760997 37.414540138)",Point 12,
"POINT (-121.824768425 37.414149420)",Point 13,
"POINT (-121.822604987 37.414994494)",Point 14,
"POINT (-121.822604954 37.414995872)",Point 16,
"POINT (-121.819603661 37.416388162)",Point 20 2:32 rod,
"POINT (-121.820213695 37.413523321)",Cover in the middle of the road,
